,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,year,number_of_books
74,2923,Winterdance: The Fine Madness of Running the Iditarod,Gary Paulsen,4.26,156001454,9.78016E+12,eng,272,5437,830,2/17/1995,Mariner Books,1995,6
75,2928,Brian's Winter,Gary Paulsen,4.01,385321988,9.78039E+12,eng,133,76,12,1/1/1996,Delacorte Books for Young Readers,1996,6
76,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9.78156E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,1994,1
77,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.7816E+12,eng,228,99,16,11/1/2005,The New Press,2005,3
78,19981,Law of Enclosures,Dale Peck,3.65,067100347X,9.78067E+12,eng,320,72,2,2/1/1997,Washington Square Press,1997,3
79,19983,The Drift House: The First Voyage,Dale Peck,3.65,159990005X,9.7816E+12,eng,437,618,69,11/1/2006,Bloomsbury Publishing PLC,2006,3
80,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.7816E+12,eng,304,167,4,11/1/2005,Changeling Press,2005,1
81,58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78067E+12,eng,256,978,111,8/17/2006,Viking Juvenile,2006,2
82,19998,The Porcelain Dove,Delia Sherman,3.41,452272262,9.78045E+12,eng,416,206,28,7/1/1994,Plume,1994,2
83,59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78014E+12,eng,137,4454,302,4/14/2003,Firebird,2003,6
84,19818,Moon-Flash (Kyreol  #1-2),Patricia A. McKillip,3.74,142403016,9.78014E+12,eng,304,348,13,3/17/2005,Firebird,2005,6
85,19819,Harrowing the Dragon,Patricia A. McKillip,3.94,441014437,9.78044E+12,eng,308,1602,86,11/7/2006,Ace Books,2006,6
86,19820,Cygnet (Cygnet  #1-2),Patricia A. McKillip,4.07,441014836,9.78044E+12,eng,406,543,35,3/6/2007,Ace Books,2007,6
87,19822,Solstice Wood (Winter Rose  #2),Patricia A. McKillip,3.76,441014658,9.78044E+12,eng,278,1715,141,1/2/2007,Ace Books,2007,6
88,19823,Od Magic,Patricia A. McKillip,3.98,441013341,9.78044E+12,eng,315,3140,265,6/6/2006,Ace Books,2006,6
89,61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.7806E+12,eng,228,1176,96,6/8/2004,iUniverse,2004,3
90,903,The Egypt Game,Zilpha Keatley Snyder,3.83,808553038,9.78081E+12,eng,215,30231,1130,7/7/2009,Turtleback Books,2009,3
91,2319,The Witches of Worm,Zilpha Keatley Snyder,3.69,440802504,9.78044E+12,eng,183,40,12,5/1/1991,Dell Yearling,1991,3
92,63,The Changeling,Kate Horsley,3.55,1590301943,9.78159E+12,eng,339,301,43,4/12/2005,Shambhala,2005,2
93,20059,Confessions of a Pagan Nun,Kate Horsley,3.87,1570629137,9.78157E+12,eng,191,1768,266,9/10/2002,Shambhala,2002,2
94,66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78045E+12,eng,369,345,12,8/28/1990,Ivy Books,1990,1
95,67,The Known World,Edward P. Jones,3.83,61159174,9.78006E+12,eng,388,29686,2626,8/29/2006,Amistad,2006,4
96,11684,The Known World,Edward P. Jones,3.83,7195303,9.78001E+12,eng,388,449,83,10/1/2004,Harper Perennial,2004,4
97,11751,All Aunt Hagar's Children: Stories,Edward P. Jones,3.78,60557567,9.78006E+12,eng,399,1614,212,8/29/2006,Amistad,2006,4
98,11752,Lost in the City,Edward P. Jones,4.03,006079528X,9.78006E+12,eng,268,2228,241,11/30/2004,Amistad Press,2004,4
99,68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78006E+12,eng,14,55,12,6/15/2004,HarperAudio,2004,1
100,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78027E+12,eng,334,1456,82,5/15/2006,FT Press,2006,1
101,72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78193E+12,eng,352,52,4,12/14/2005,Archaia,2005,2
102,19961,Artesia Volume 1,Mark Smylie,3.98,193238622X,9.78193E+12,eng,192,242,24,9/20/2011,Archaia,2011,2
103,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78037E+12,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,1982,1
104,75,Uncommon Carriers,John McPhee,3.95,374280398,9.78037E+12,eng,248,1630,203,5/16/2006,Farrar Straus Giroux,2006,10
105,76,Heirs of General Practice,John McPhee,4.17,374519749,9.78037E+12,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,1986,10
106,77,The Control of Nature,John McPhee,4.24,374522596,9.78037E+12,eng,288,3498,305,9/1/1990,Farrar  Straus and Giroux,1990,10
107,78,Annals of the Former World,John McPhee,4.34,374518734,9.78037E+12,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,1999,10
108,79,Coming Into the Country,John McPhee,4.22,374522871,9.78037E+12,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,1991,10
109,81,Giving Good Weight,John McPhee,4.23,374516006,9.78037E+12,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,1994,10
110,83,Rising from the Plains,John McPhee,4.23,374520658,9.78037E+12,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,1987,10
111,19894,Basin and Range,John McPhee,4.19,374516901,9.78037E+12,eng,240,2781,178,4/1/1982,Farrar  Straus and Giroux,1982,10
112,19897,The Deltoid Pumpkin Seed,John McPhee,3.95,374516359,9.78037E+12,eng,192,380,18,9/1/1992,Farrar  Straus and Giroux,1992,10
113,19898,Assembling California,John McPhee,4.17,374523932,9.78037E+12,eng,294,1595,120,2/1/1994,Farrar  Straus and Giroux,1994,10
114,85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78082E+12,eng,81,1423,70,3/1/2002,Dramatists Play Service,2002,2
115,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78068E+12,eng,249,2766,64,7/2/1991,Vintage,1991,2
116,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.7816E+12,eng,138,31,1,3/29/2006,Routledge,2006,3
117,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78087E+12,eng,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,1997,3
118,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78087E+12,eng,192,55,5,11/15/2004,ASCD,2004,3
119,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78158E+12,eng,128,62,4,3/14/2006,North Light Books,2006,2
120,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78158E+12,eng,128,78,4,8/19/2004,North Light Books,2004,2
121,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.7808E+12,eng,192,860,53,9/1/2003,Chosen Books,2003,1
122,93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78075E+12,eng,352,153317,2257,11/15/2002,Kingfisher,2002,1
123,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78185E+12,eng,192,34,6,4/28/2003,Sovereign World,2003,1
124,98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78076E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,2003,1
125,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78097E+12,eng,123,34,8,5/10/2004,One Hour Entertainment,2004,1
126,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78044E+12,eng,423,2785,166,6/15/1987,Ace Books,1987,10
127,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78044E+12,eng,436,38778,568,7/1/1987,Ace Books,1987,10
128,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78044E+12,eng,331,97494,2359,7/15/1987,Ace Books,1987,10
129,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9.7804E+12,eng,480,272,20,4/16/1984,Putnam,1984,10
130,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9.78044E+12,eng,471,45388,644,8/15/1987,Ace Books,1987,10
131,2010,The Santaroga Barrier,Frank Herbert,3.66,765342510,9.78077E+12,eng,256,1625,85,9/16/2002,Tor Books,2002,10
132,2011,The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,3.81,765342537,9.78077E+12,eng,320,6146,150,9/16/2002,Tor Books,2002,10
133,2015,The Eyes of Heisenberg,Frank Herbert,3.43,765342529,9.78077E+12,eng,192,1485,76,9/16/2002,Tor Books,2002,10
134,20287,Hellstrom's Hive,Frank Herbert,3.69,553144383,9.78055E+12,eng,312,41,3,3/23/1982,Bantam Books (NY),1982,10
135,42432,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.84,575075066,9.78058E+12,eng,454,51343,896,3/13/2003,Victor Gollancz,2003,10
136,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9.78077E+12,eng,592,784,21,7/1/2004,Tor Books,2004,1
137,110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78077E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,2006,1
138,119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78062E+12,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,2002,2
139,20254,Doctor Who: The Inside Story,Gary Russell,4.22,056348649X,9.78056E+12,eng,256,273,10,10/26/2006,BBC Books,2006,2
140,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78035E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,1996,5
141,123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78039E+12,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,2005,5
142,2336,Tandia,Bryce Courtenay,4.05,140272925,9.78014E+12,eng,905,8461,369,8/31/1998,Penguin Books Australia Ltd.,1998,5
143,2338,Matthew Flinders' Cat,Bryce Courtenay,3.8,670910619,9.78067E+12,eng,611,2737,161,12/31/2002,Viking,2002,5
144,2343,Solomon's Song (The Potato Factory  #3),Bryce Courtenay,4.01,140271570,9.78014E+12,eng,671,3920,132,8/31/2001,Penguin Books Australia Ltd.,2001,5
145,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9.78047E+12,eng,205,174,16,5/19/2006,Wiley,2006,1
146,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78006E+12,eng,336,76,9,5/3/2005,William Morrow Paperbacks,2005,1
147,133,eBay for Dummies,Marsha Collier,3.5,470045299,9.78047E+12,eng,386,111,9,10/30/2006,Wiley,2006,2
148,137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9.78076E+12,eng,384,55,4,9/17/2004,Wiley,2004,2
149,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,9.7806E+12,eng,873,166,4,7/29/2006,O'Reilly Media,2006,1
150,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9.78081E+12,eng,240,50,5,5/3/2005,Citadel,2005,1
151,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9.7806E+12,eng,514,64,1,1/1/2007,O'Reilly Media,2007,1
152,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78014E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,2004,3
153,5685,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,142000272,9.78014E+12,eng,838,2415,397,12/1/2001,Penguin Books,2001,3
154,5696,What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,140446427,9.78014E+12,eng,230,127,24,8/31/1995,Penguin Classics,1995,3
155,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,9.78045E+12,eng,960,109420,5696,11/5/2002,Signet,2002,1
156,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,9.78014E+12,eng,837,2904,309,1/30/2003,Penguin Books,2003,1
157,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78159E+12,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,2003,1
158,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,9.78049E+12,eng,752,474,72,11/23/2004,Dover Publications,2004,2
159,42641,Resurrection,Leo Tolstoy/Louise Maude/Aylmer Maude,4.13,735102864,9.78074E+12,eng,562,11468,530,2/1/2000,Replica Books,2000,2
160,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78159E+12,eng,803,303,48,8/26/2004,Barnes & Noble,2004,1
161,159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9.78078E+12,eng,360,411,65,1/28/2006,Mira Books,2006,1
162,160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78052E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,1987,1
163,162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78014E+12,eng,160,3429,279,7/3/1990,Penguin Books,1990,1
164,163,The Untouchable,John Banville,3.95,679767479,9.78068E+12,eng,367,2163,216,6/30/1998,Vintage,1998,8
165,3656,The Sea,John Banville,3.51,1400097029,9.7814E+12,eng,195,19308,1803,8/15/2006,Vintage,2006,8
